,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
54881,54881,Gl 421.1A,34.118,6.51,3.845,0.15957,F,16773591,0.43700000000000006,-20.262148,3.932397,27.166041999999997,UMa,2.5234807724805743
54903,54903,GJ 1144,17.9147,9.98,8.714,0.11087999999999999,K,16623706,1.401,-17.015762,3.279096,-4.543992,Crt,0.02847082159799285
54905,54905,4370.0,52.0021,6.3,2.72,0.17082,F,16773591,0.40299999999999997,-35.550712,6.835738,-37.331436,Cen,7.11213513653329
54921,54921,74Phi Leo,56.4653,4.45,0.691,0.19110999999999997,A,13291261,0.21,-55.346129000000005,10.592461,-3.596235,Leo,46.08928809808953
54923,54923,4367.0,137.5516,5.88,0.188,0.19614,K,16623706,1.102,-87.78538,16.786653,104.55802800000001,UMa,73.248713266504
54943,54943,4369.0,129.5337,6.11,0.5479999999999999,0.19254000000000002,A,13291261,0.21100000000000002,-126.271799,23.99079,-16.088368,Crt,52.577508225669405
54957,54957,GJ 1145,17.6929,9.78,8.541,0.11260999999999999,M,16541255,1.383,-15.375814000000002,2.910494,-8.255428,Hya,0.03338873767251227
54967,54967,4372.0,72.6744,6.24,1.933,0.17869,A,13291261,0.105,-56.261433999999994,10.630673,-44.75717,Cen,14.682499678319864
54969,54969,Wo 9356,30.3674,9.73,7.318,0.12483999999999999,M,16541255,1.161,-29.822264,5.631235,-1.050194,Leo,0.1029911719340699
54974,54974,75    Leo,101.833,5.18,0.141,0.19661,M,16541255,1.511,-100.007703,18.855977,3.5726519999999997,Leo,76.48917910070716
55001,55001,4373.0,47.4608,6.44,3.0580000000000003,0.16744,F,16773591,0.408,-38.337866,7.166475999999999,-27.043845,Hya,5.209547473285552
55005,55005,4376.0,129.5337,6.67,1.1079999999999999,0.18694,G,16702104,0.976,-102.313983,19.094648,-77.1118,Cen,31.390627691376576
55045,55045,4378.0,163.6661,6.66,0.59,0.19211999999999999,A,13291261,0.059000000000000004,-157.46208700000003,28.934713000000002,33.984756,Leo,50.582466200311394
55046,55046,Gl 423.1,21.5703,7.29,5.621,0.14181,G,16702104,0.732,-21.132565,3.881711,-1.9052259999999999,Leo,0.4915865591568614
55055,55055,54Nu  UMa,122.399,3.49,-1.949,0.21751,K,16623706,1.4,-100.86425600000001,18.476143,66.832099,UMa,524.3243172456372
55061,55061,4385.0,61.1247,6.35,2.419,0.17382999999999998,A,13291261,0.266,-10.783529,1.9707240000000001,-60.13365400000001,Cha,9.384259312370176
55085,55085,76    Leo,90.2527,5.9,1.123,0.18679,K,16623706,1.04,-88.76964100000001,16.085774,2.599355,Leo,30.959932133091726
55102,55102,55    UMa,58.8235,4.76,0.912,0.18889999999999998,A,13291261,0.113,-45.502825,8.201253999999999,36.365276,UMa,37.60105236684958
55116,55116,4384.0,36.6838,5.99,3.168,0.16634000000000002,F,16773591,0.47100000000000003,-15.497176000000001,2.783223,-33.133009,Car,4.707604832565833
55118,55118,12Del Crt,56.9476,3.56,-0.217,0.20018999999999998,K,16623706,1.112,-54.199405000000006,9.717642,-14.52639,Crt,106.36530750764376
55144,55144,4387.0,160.5136,6.26,0.23199999999999998,0.1957,B,9214460,-0.016,-40.520874,7.216267,-155.14724099999998,Mus,70.33961712162473
55195,55195,Gl 424,8.9182,9.31,9.559,0.10243000000000001,M,16541255,1.412,-3.5941739999999998,0.6324489999999999,8.137924,UMa,0.013073744701631328
55248,55248,4383.0,127.2265,6.2,0.677,0.19125,G,16702104,1.018,-48.786332,8.405766999999999,117.199367,UMa,46.68743343920188
